"es_questionnaire_id","Usage_num_int_all","Usage_sum_duration","Usage_median_duration","Usage_num_int_5","Usage_num_int_530","Usage_num_int_30","Usage_quadratic","Nonusage_num_int_all","Nonusage_sum_duration","Nonusage_median_duration","Nonusage_num_int_5","Nonusage_num_int_530","Nonusage_num_int_30","Nonusage_quadratic","user_id","valence"
12,2,89.3570001125336,44.6785000562668,2,0,0,0.921169640409612,2,3510.64299988747,1755.32149994373,1,0,1,0.887033364947238,1034,6
13,5,1841.87600016594,32.4679999351501,3,2,0,0.481696542917175,4,1758.12399983406,453.639500021935,2,2,0,0.409641547609569,1034,6
14,3,223.398000001907,88.8109998703003,3,0,0,0.508878592159346,3,3376.60199999809,609.865999937057,1,1,1,0.69919329953149,1034,5
15,1,6.21600008010864,6.21600008010864,1,0,0,1,1,3593.78399991989,3593.78399991989,0,0,1,1,1034,6
16,7,949.023999929428,13.1800000667572,6,1,0,0.711477449687942,7,2650.97600007057,85.8490002155304,4,3,0,0.290518611524465,1034,5
17,2,373.37900018692,186.68950009346,1,1,0,0.984919108476864,2,3226.62099981308,1613.31049990654,0,2,0,0.504996681284282,1034,5
18,5,217.373000144958,10.720999956131,5,0,0,0.507085075543255,5,3382.62699985504,123.889999866486,3,1,1,0.596854223725459,1034,5
19,6,342.819999694824,57.4264999628067,6,0,0,0.265985516306737,6,3257.18000030518,220.490499973297,3,2,1,0.398600616805912,1034,5
20,2,17.4610002040863,8.73050010204315,2,0,0,0.653572422249769,2,3582.53899979591,1791.26949989796,1,0,1,0.965863812356158,1034,5
21,1,4.17499995231628,4.17499995231628,1,0,0,1,1,3595.82500004768,3595.82500004768,0,0,1,1,1034,5
1,6,69.2789995670319,6.37549984455109,6,0,0,0.361669003719357,6,3530.72100043297,589.674000263214,2,4,0,0.226978410435204,1035,5
2,2,18.4059998989105,9.20299994945526,2,0,0,0.521401539684052,2,3581.59400010109,1790.79700005054,0,1,1,0.647849075165087,1035,5
3,2,51.9360003471375,25.9680001735687,2,0,0,0.917038232333725,2,3548.06399965286,1774.03199982643,0,1,1,0.647744720856808,1035,5
4,4,3357.91799998283,568.082499980927,2,1,1,0.548886390308013,3,242.082000017166,61.9559998512268,3,0,0,0.387667204268051,1035,4
5,2,196.591000080109,98.2955000400543,2,0,0,0.868762820239877,2,3403.40899991989,1701.70449995995,0,1,1,0.533457607356891,1035,5
6,4,564.78600025177,14.5175000429153,3,1,0,0.893378257492814,4,3035.21399974823,576.824500083923,2,2,0,0.461818618311294,1035,6
7,2,3593.6970000267,1796.84850001335,1,0,1,0.9986318734775,1,6.30299997329712,6.30299997329712,1,0,0,1,1035,5
8,1,2.57000017166138,2.57000017166138,1,0,0,1,1,3597.42999982834,3597.42999982834,0,0,1,1,1035,4
9,1,2.9210000038147,2.9210000038147,1,0,0,1,1,3597.07899999619,3597.07899999619,0,0,1,1,1035,5
10,6,391.03800034523,10.6015001535416,5,1,0,0.764034563050071,6,3208.96199965477,133.990000009537,4,1,1,0.544277813614756,1035,4
11,1,2.14799976348877,2.14799976348877,1,0,0,1,1,3597.85200023651,3597.85200023651,0,0,1,1,1035,4
12,2,9.33500003814697,4.66750001907349,2,0,0,0.638157187515262,2,3590.66499996185,1795.33249998093,0,1,1,0.60086083332062,1035,5
13,6,132.114000558853,16.4110000133514,6,0,0,0.249365927046968,6,3467.88599944115,598.75049996376,2,4,0,0.227410600370057,1035,4
14,5,328.549000263214,37.1710000038147,5,0,0,0.465105549026013,5,3271.45099973679,162.586999893188,3,1,1,0.481088310597535,1035,5
1,1,14.2829999923706,14.2829999923706,1,0,0,1,1,3585.71700000763,3585.71700000763,0,0,1,1,1041,4
2,5,382.348999977112,60.0490000247955,5,0,0,0.373067981146892,4,3217.65100002289,937.878000020981,1,3,0,0.357608779907908,1041,5
3,3,365.365000486374,147.073000192642,3,0,0,0.451253434816653,2,3234.63499951363,1617.31749975681,0,1,1,0.541062923193631,1041,4
4,3,509.345999717712,15.4329998493195,2,1,0,0.93238430452846,3,3090.65400028229,476.776000022888,1,1,1,0.634287245403218,1041,4
5,3,433.220999956131,144.336999893188,3,0,0,0.54745936296239,3,3166.77900004387,1115.89699983597,0,3,0,0.377014627895564,1041,4
6,6,148.73899936676,8.97499978542328,6,0,0,0.494631916570248,6,3451.26100063324,568.192500114441,2,4,0,0.24481017416005,1041,3
7,7,2353.80900001526,59.8550000190735,5,2,0,0.504389650006112,6,1246.19099998474,69.8414999246597,5,1,0,0.492231688592184,1041,2
8,2,2746.78099989891,1373.39049994946,1,0,1,0.995362453510675,1,853.219000101089,853.219000101089,0,1,0,1,1041,5
9,2,3540.09600019455,1770.04800009727,0,1,1,0.531571009228036,1,59.9039998054504,59.9039998054504,1,0,0,1,1041,4
10,4,48.949000120163,15.4685000181198,4,0,0,0.305439646708792,4,3551.05099987984,806.366499900818,2,1,1,0.448755332568174,1041,4
11,5,1256.49300003052,16.0169999599457,4,1,0,0.782063535004834,5,2343.50699996948,434.361999988556,1,4,0,0.265876415262082,1041,2
12,4,1047.55599999428,318.313499927521,2,2,0,0.350760804228855,4,2552.44400000572,460.310500025749,1,3,0,0.409945936564312,1041,4
13,2,17.1689999103546,8.58449995517731,2,0,0,0.741858536460514,2,3582.83100008965,1791.41550004482,1,0,1,0.962269301792484,1041,4
14,3,1400.54299998283,139.439999818802,2,1,0,0.813483728191233,3,2199.45700001717,591.769999980927,1,2,0,0.509301337001481,1041,3
15,4,476.392000198364,95.9495000839233,4,0,0,0.432792695611619,4,3123.60799980164,679.541999936104,2,2,0,0.450791985088781,1041,5
16,3,2445.92900013924,660.06500005722,1,2,0,0.603386135306993,2,1154.07099986076,577.035499930382,1,1,0,0.8374550951928,1041,3
17,5,903.588999986649,136.039999961853,4,1,0,0.476129355005292,5,2696.41100001335,731.647000074387,2,3,0,0.312162898395487,1041,4
18,2,1012.52099990845,506.260499954224,1,1,0,0.926318375735502,2,2587.47900009155,1293.73950004578,1,0,1,0.916591396346225,1041,4
19,2,33.0199999809265,16.5099999904633,2,0,0,0.846347879922904,2,3566.98000001907,1783.49000000954,0,1,1,0.538502584269973,1041,5
1,1,17.0329999923706,17.0329999923706,1,0,0,1,1,3582.96700000763,3582.96700000763,0,0,1,1,1042,4
2,3,916.603999853134,374.726999998093,1,2,0,0.3998790389143,3,2683.39600014687,404.616000175476,0,2,1,0.547686587857033,1042,4
3,1,6.93700003623962,6.93700003623962,1,0,0,1,1,3593.06299996376,3593.06299996376,0,0,1,1,1042,4
4,2,39.5129997730255,19.7564998865128,2,0,0,0.750198499056334,2,3560.48700022697,1780.24350011349,1,0,1,0.995278699493277,1042,3
5,4,848.024000167847,203.164000034332,2,2,0,0.449418478727034,4,2751.97599983215,720.480000019073,2,2,0,0.418231157976714,1042,5
6,4,1389.26400065422,10.0590001344681,3,1,0,0.967252979617289,4,2210.73599934578,461.705499887466,2,2,0,0.495338643475085,1042,4
7,2,19.0640001296997,9.53200006484985,2,0,0,0.553260099118334,2,3580.9359998703,1790.46799993515,1,0,1,0.978556839531129,1042,6
8,3,2571.96200013161,1130.39100003242,1,2,0,0.491432240320812,2,1028.03799986839,514.018999934196,1,1,0,0.616667826118274,1042,5
9,2,21.5130002498627,10.7565001249313,2,0,0,0.589759698822989,2,3578.48699975014,1789.24349987507,0,1,1,0.784105008181592,1042,6
10,1,50.3309998512268,50.3309998512268,1,0,0,1,1,3549.66900014877,3549.66900014877,0,0,1,1,1042,6
11,1,5.13800001144409,5.13800001144409,1,0,0,1,1,3594.86199998856,3594.86199998856,0,0,1,1,1042,3
