"TST","Usage_quadratic","Usage_num_int_all","Usage_median_duration","Usage_num_int_5","Usage_num_int_530","Usage_num_int_30","TWT","TNST","Nonusage_quadratic","Nonusage_num_int_all","Nonusage_median_duration","Nonusage_num_int_5","Nonusage_num_int_530","Nonusage_num_int_30","user_id","Mean_flour","PA_PANAVA","NA_PANAVA","VA_PANAVA","Mean_SWLS"
4455.23299956322,0.134651091464193,51,32.6100001335144,46,3,0,15.9666666666667,53092.2670006752,0.0551737219547011,52,485.802000045776,18,22,9,383,6.625,6.75,2.25,7,3.4
13075.7460000515,0.0638108965422621,47,75.326000213623,32,12,1,17.5,49898.5919992924,0.0719259746135698,48,319.512000083923,26,19,9,387,4.5,4.5,4.25,4,3.6
16603.1270020008,0.0346919427979445,152,17.9630000591278,138.5,13,0,15.7583333333333,40076.7720007896,0.0321499031457597,153,100.01700001955,119.5,30,3,394,6.75,2.75,3.75,6,5.6
23646.5769991875,0.110464234530055,21,570.781000137329,7,10,4,16.4,33731.9160003662,0.152927668699416,21,585.479000091553,9,7,6,400,5.375,4.5,3.75,6,5.4
9540.21999955177,0.176092610524569,38,41.4019999504089,31,6,1,15.7916666666667,43401.570500493,0.0656371668323701,37.5,584.689499974251,15,14,8,404,5.75,6.25,3,6,5.4
16040.8849999905,0.105160774643612,59,59.2734997272491,48,8,3,16.5833333333333,43910.5580010414,0.0625605984569332,54,401.141999959946,21,20,6,406,6,4.5,3,6,5.2
9119.18100142479,0.0957430814478416,51,50.9339998960495,41,7,1,15.4166666666667,46105.9960005283,0.0509337777733877,52,654.088000059128,13,25,8,407,5,3,4.25,4,3.6
15715.6510024071,0.0624657543089043,94,27.875,82,10,1,16.875,44774.9775004387,0.0415629216603406,92.5,175.686250030994,56,29,5.5,409,5.875,3.5,5.25,4.5,5.4
7506.07300043106,0.163663994388119,10,434.06550014019,4,4,1,18.2833333333333,57459.5829997063,0.174909962977296,11,2705.60800004005,2,3,8,411,5.125,3.25,2.5,4.5,4
13098.908998251,0.0470730001342993,114,14.1594998836517,103,12,0,17.4166666666667,51337.7510001659,0.0292093552866413,115,147.662000179291,76,32,7,416,5.125,4.5,3.75,5.5,5.4
9551.14199995995,0.0818021230313522,47,82.919499874115,40,7.5,0.5,18.0833333333333,57988.6579999924,0.0551346893358975,39,871.391999721527,9,19,9,418,6.375,5.5,2,6.5,5.6
11398.9699997902,0.127687031887715,35,76.2520000934601,26,10,1,18.5833333333333,51510.4764991999,0.112957328721742,36,332.892999947071,18.5,14,7,420,3.625,3,4,3.5,3.4
5915.417999506,0.067044442328018,46,44.5119999647141,35,4,0,16.1666666666667,51204.582000494,0.0725777705483463,47,513.118999958038,19,20,9,426,5.75,4.25,2.5,4.5,5.2
35900.4009997845,0.130567746649986,51,72.4319999217987,37,7,6,15.5916666666667,20234.1184999943,0.0684453945174717,49,225.354999959469,27,18,1,435,5.625,5.75,2.25,6,5.8
12730.8519992828,0.0947776766518742,35,112.427250027657,24,10,1,17.7666666666667,50664.9789998531,0.0810880228680569,35,753.792499780655,10,13,8,436,5.375,3.25,5.25,1,1.4
15643.5680024624,0.11809381054516,117,7.72699975967407,106,8,2,16.5166666666667,43403.8369998932,0.0451375657537441,118,143.391000151634,76,27,5,437,6.375,5,3.5,6,3.6
26022.0434999466,0.300795487255349,10,705.836499989033,0,4,3.5,19.2,41617.1689994335,0.243848922240503,11,3185.59199976921,1,2,5,438,4.875,4.25,5.5,3,1.4
14741.7369997501,0.0907672519098947,38.5,89.9632499814034,27.5,12.5,2,15.7833333333333,43525.7720003128,0.0832642648670981,39,534.563000202179,16,17,7,439,4.875,3.25,3.5,5,4.4
13820.7179996967,0.0560566689034907,108,32.3665000200272,102,8,0,15.1166666666667,41644.6900000572,0.0405515773205765,105.5,138.620999932289,69.5,31,4.5,448,5.375,4.25,4.25,5,3.8
