"TST","Usage_quadratic","Usage_num_int_all","Usage_median_duration","Usage_num_int_5","Usage_num_int_530","Usage_num_int_30","TWT","TNST","Nonusage_quadratic","Nonusage_num_int_all","Nonusage_median_duration","Nonusage_num_int_5","Nonusage_num_int_530","Nonusage_num_int_30","user_id","Mean_flour","PA_PANAVA","NA_PANAVA","VA_PANAVA"
19235.2579996586,0.127049459918104,22.5,366.636750042439,11,8,3.5,17.5583333333333,42339.4314996004,0.105868662000279,21.5,1235.08574998379,5,7,9,197,3.5,1.5,5.5,2.5
14684.8270001411,0.0699644976200977,82,22.6049997806549,68,11,1,15.6583333333333,44369.4900007248,0.0468582069206105,77,209.641749918461,44,28,5.5,199,4,3.25,2.75,5
13103.2259995937,0.131933238324828,41,92.2329998016357,31,7,2,17.5,48745.4979999065,0.106679450927129,46.5,323.820500016212,21.5,14,7,201,7,7,1,7
5389.85699939728,0.107883713310158,43,64.0055000782013,39.5,4.5,0,17.7583333333333,56490.6424990892,0.0514010068413263,44,816.607749998569,11,21,10.5,204,3.625,3.5,3.5,2.5
4302.77199888229,0.174874675963581,27,46.8085000514984,23,4,0,17.3833333333333,52750.3080005646,0.14072308093415,28,791.975000143051,7,8,8,206,7,5.25,1.75,7
6977.33999991417,0.118910571939666,44,48.5989999771118,41,2,1,16.3333333333333,52419.0640003681,0.0613239855110511,45,703.397999763489,15,20,10,211,5.875,6,2,6
17302.1215000153,0.0966970835335467,38,133.719000041485,25.5,10.5,3,16.9166666666667,41425.8240001202,0.0769397894222162,39,435.840999960899,17,13,8,216,5,4.25,4,4.5
12176.5430002213,0.160837394072107,52,130.540999889374,42,7,1,16.3083333333333,46437.8549991846,0.0753929959450707,52.5,497.962499856949,19,19.5,6.5,220,5.875,3.75,3.75,4
6511.08299922943,0.0995472680071498,63,17.6614999771118,57,5,0,16.7,53955.1040000916,0.0670074564517441,54,438.701999902725,26,27,6,224,5.25,4.5,2.5,6
17744.7695001364,0.0776220492619358,35,321.716249883175,15,19.5,1.5,18.4333333333333,47594.1340000629,0.0799909447735576,35,685.270999908447,9,18,8,230,6,4.75,2.75,6
26990.1759967804,0.0800575582552722,134,9.96549999713898,119,13,3,13.75,23529.8240032196,0.0224880744792214,135,99.2339997291565,115,21,0,235,5.125,5.5,4.75,4
11830.6725004911,0.0704554074028568,62.5,64.2664999961853,54,10,0.5,17.5,49733.5890002251,0.0633307732591704,62,270.018999934196,32,24,7,237,3.25,2.75,5.25,2
19199.9170024395,0.0543180921503297,91,54.8239998817444,79,12,2,16.3,44093.5690004826,0.0334707605075799,88,233.545000076294,57,34,4,241,4.75,3.75,4.25,5
9437.17450034618,0.15932121669302,28,71.0482499599457,20,5.5,1.5,17.0333333333333,51275.9639995098,0.0945912760648455,29,944.319999694824,7,10,9,246,5.125,3.75,4.75,3
16305.1299993992,0.105321269694729,47,68.188000202179,31,8,2,15.6833333333333,37754.8700006008,0.0660969215378243,48,260.209000110626,25,15,5,254,5.625,5.25,2.25,6
6262.84099936485,0.143431048812384,32.5,13.9355000257492,28,6,0,15.8166666666667,51901.9979999065,0.0786534720611435,31,1231.71300005913,8,14,10,257,4,4,4.5,4
15033.6649997234,0.0520358059721215,64,123.33849978447,49,15,1,16.3833333333333,43845.2070002556,0.0491068134183755,62,385.99749994278,28,22,7,261,6,5.5,2,6.5
25664.1940006018,0.0575981113083577,59,237.247249960899,31.5,20,2.5,16.7833333333333,32533.1289992332,0.0625371016917302,59,286.283999919891,30,23,3,264,5.5,4.25,3.5,5
20183.6229996681,0.052701114618202,102,30.074000120163,82.5,19.5,2,15.5833333333333,36040.4009993076,0.0321817747301219,101,144.118999958038,70,29,3,268,3.875,2.5,5.5,3
13243.4650001526,0.0901152355167819,51,67.2297500371933,39.5,9,1.5,17.3083333333333,45285.0914990902,0.0681010922307044,44.5,388.557500064373,21.5,14,10,269,4.375,4.25,4.25,4
3156.64300060272,0.0803797919612328,40,39.2089999914169,39,1,0,16.6666666666667,56395.1394995451,0.063480447659757,41.5,552.379749953747,16,14,11,273,5.625,5.75,4,6
12065.4980012178,0.0761459818222372,87.5,57.3169998526573,71.5,9,1,17.85,55053.3820004463,0.0442080993212957,85,215.179999828339,49,27,7,274,4,4,4,4
19469.7645014524,0.0344328964777596,87,117.067749977112,69,19,0,16.9666666666667,40324.7129981518,0.0797112711116879,94,111.554499983788,64,23,4,276,5.25,3.25,4.25,5
19026.0200004578,0.0982827308169389,60,60.779000043869,48,11,3,14.3333333333333,33053.9799995422,0.0673073358199817,61,262.061000108719,30,19,6,282,4.375,5.25,4.5,3.5
21319.531001091,0.0803707355807946,47,65.578999876976,38,12,3,17.1083333333333,41573.1054991484,0.0680074336876756,48,370.075249910355,24.5,16.5,7.5,287,4.875,3,4.75,5
6984.48499965668,0.136631981949636,31,56.0449998378754,24,4,1,17.3333333333333,56357.8060007095,0.0797135085790899,29,643.218000173569,9,9,9,298,4.25,2.75,3.75,3.5
8086.71800017357,0.0861081375805448,40,95.1289999485016,28.5,8.5,0,16.1833333333333,49738.5455002785,0.0591162453996046,41,567.782000184059,16.5,18.5,9,302,5.625,4.75,2.75,6
29367.3530004025,0.109323038677137,30,370.641999959946,12,13,4,18.2833333333333,35361.3340001106,0.0920198212677007,31,543.704499959946,12,13,6,307,6,5,2.5,5.5
18780.8920016289,0.109850782462191,105,14.6289999485016,97,6,4,16.1,38939.1079983711,0.038811815039286,104,177.730500102043,68,31,3,311,3.375,2.75,6,2.5
21477.9194999933,0.0459796282245053,96,56.4625000357628,66.5,21,2,17.0833333333333,40949.6729991436,0.0380271006116156,95,212.218999862671,54,29,5,312,4.5,2.25,4.25,5
38566.9899997711,0.0586805461655329,43,451.033999919891,17,18,8,16,15640.686999321,0.0812545640205286,42,156.650499939919,27,12,2,314,4,4,4,4
14386.097500205,0.142836723976718,29.5,110.46624994278,22,6,2.5,15.375,44713.1204997301,0.0967937961193104,28.5,806.838749885559,8.5,11.5,6.5,316,6.875,6.25,1,7
5852.05799996853,0.145148483126962,29,85.6582500934601,25,4,0,15.95,52509.6170003414,0.109889058172114,28,1191.21499991417,9,7,10,317,5.25,4.75,3.5,5.5
10202.8419981003,0.126948097633953,42,146.418999910355,30,6,0,17.4333333333333,48538.6080002785,0.0590758744653503,38,705.943500041962,14,22,7,319,3.25,2.5,4,2
4267.94600105286,0.11883129904263,49,17.2145000696182,46,4,0,17,56971.267998457,0.0833382793696647,48,460.168499946594,19,21,6,320,4.25,4.25,6,4
14243.6180002689,0.0764020140642743,55,40.3444999456406,50,9,1,15.85,40175.8039987087,0.0523251219741583,56,302.342000007629,26,19,7,321,6.75,5.5,1.5,6
9164.16849970818,0.167203823998261,35,88.3019999861717,30.5,3,1.5,16.0833333333333,52372.3374991417,0.0917829643189683,30,664.156249940395,8.5,13,9,331,5,4.5,2.5,6
12007.7130014896,0.100714466199402,49,59.0240001678467,38,7,1,17.9416666666667,50590.2549997568,0.0805560545618371,50,334.176249980927,24.5,15.5,9,341,3.75,4.75,3.75,4.5
10348.6134991646,0.0629440341446642,59.5,50.2127501368523,48.5,10.5,0,16.2333333333333,47885.0894998312,0.052247689053669,60.5,302.206749796867,31.5,20,8,344,6.625,6,1.75,6
27850.8650007248,0.0301727217239023,134,82.426500082016,112,21,1,17.4583333333333,34593.6374999285,0.0251125634351905,120.5,111.49899995327,88,31,3,352,5.5,5.25,3.25,5
5867.18499994278,0.159115017281802,27,63.8230001926422,23,3,1,21.5583333333333,68407.175999999,0.0817159002881447,28,1276.61974996328,8.5,9,12.5,358,5.25,2.75,3.5,4
18703.9420011044,0.0489510937774778,75,77.3970000743866,58,15,1,16.65,42992.8350009918,0.053795680745964,76,184.736999988556,52,22,7,364,5.875,4.75,3.25,6
10841.0110000372,0.0761902085543252,33,165.457500100136,25,8,0,18.4166666666667,54188.9169993401,0.0978261413292857,32,804.165499925613,7,15,8,365,4.5,3.75,4.5,5
12582.2040002346,0.210509620068032,12,321.164000034332,8,5,2,15.6666666666667,46535.5760002136,0.179630707141637,12,1652.1819999218,2,3,5,366,3.375,2.75,4.5,4.5
9929.99800109863,0.128911672512934,38,66.3199999332428,29,10,1,16.9166666666667,50478.405500412,0.10912072291348,39,314.940000295639,17.5,15,6,368,5.375,4.75,2.5,6
10153.7660001516,0.145819069872835,32,79.915000140667,25,5.5,1,17.1333333333333,47952.7055000067,0.0715068496549629,33,716.137000024319,13,16,10.5,369,5.375,4.25,3.25,6
10779.9019999504,0.110867381945884,83,35.831000328064,72,5,1,16.3666666666667,47637.5620008707,0.0303584707913646,80.5,281.921249985695,38,32.5,6.5,372,6,5.75,2.25,6.5
8140.15499889851,0.0890385369301786,46.5,31.0247500538826,40,5,0.5,16.35,49039.9450004101,0.101771106006368,46,331.969000101089,21,17,8,373,4.625,5,3.5,5
21699.2989988327,0.127662434729052,44.5,26.0935000181198,33,8,3,15.9916666666667,33451.3329999447,0.0734116622854798,45.5,259.135249972343,24,19.5,4.5,375,5.25,5.75,2,3
10309.7184996605,0.0734136704704288,81,7.71924990415573,71.5,9,0.5,20.8666666666667,64739.3185003996,0.0559795530457766,82,228.06300008297,47,26,9,376,6.375,4.5,1.25,5
11383.9194995165,0.0835117259695603,37.5,138.684500098228,26.5,10.5,1,16.1083333333333,45616.6520006657,0.0588443253744713,38.5,595.270500063896,11.5,17.5,9,377,5.75,6,1.5,7
18997.1009991169,0.07190974311278,90,69.426500082016,78,10,2,17.025,42368.0105001926,0.0313086973324331,76.5,349.460999965668,34.5,36.5,3,378,3.875,5.5,2.5,5
4192.2189977169,0.10840734935867,42,33.3570001125336,37,3,0,16.9166666666667,54471.0550003052,0.0567608868125774,43,705.910000085831,12,18,10,383,6.75,4.75,4.25,5
10081.6459994316,0.0705852436455969,58,66.0169999599457,44,7,1,17.275,52815.0879989862,0.103023945033069,51.5,198.227249979973,28.5,15,7,384,5.625,4.25,3,6
802.963500142097,0.158574432268801,18.5,15.096499979496,18,0,0,17.5666666666667,62421.27099967,0.127454029865707,17,2965.42600011826,3,3,8,393,4.125,4.25,3.5,3
17595.0534999371,0.0298206294826156,153.5,26.2940000295639,138,13.5,0,15.5083333333333,38219.5600003004,0.0349465629383942,154.5,86.0634999871254,126,26,3,394,6.875,4.25,3.25,6.5
30766.1470007896,0.0878623100133086,25,734.481999993324,6,11,5,16.9333333333333,27295.9309998751,0.116893242897558,25,581.180249989033,8,9.5,5,400,5.125,4.75,2.75,5.5
3655.00350046158,0.226541564237952,16,33.9787500500679,12.5,2,0,17.4583333333333,57416.5965006351,0.135365859317727,17,2138.01400017738,2,5.5,8,401,5.625,5,1.75,6.5
10850.3070002794,0.233207756112159,25,37.2739999294281,19.5,3.5,2,17.6666666666667,51557.0210006237,0.105691923472519,26,587.808250129223,10.5,9,8,403,6.125,4.75,3.25,6
5250.86349952221,0.229697088110624,34.5,16.4862499833107,31.5,2.5,0.5,16.5,52569.1360011101,0.0595591133687392,35,794.378999948502,9,16,10,404,6.125,5.5,2.25,6.5
12670.5549998283,0.0921913847741483,60,40.3520002365112,53,8,1,16.125,48234.0345000029,0.0534383282662941,62,345.68699991703,28,27,7,406,6,4.5,2.75,6
6463.21200013161,0.11693170608812,41,55.0969998836517,37,3,1,16.7,48991.2439992428,0.0575123346141929,42,701.782999992371,13,20,10,407,4.875,4,3.75,5
